104,밥류,새우초밥(전라도),250,400,81.17,16.4,1.2,16.63,1144.15,76.04,0.41,0.01,2012
105,밥류,새우초밥(충청도),250,377.5,75.47,16.68,0.87,10.74,1170.52,75.4,0.44,0,2012
106,밥류,새우튀김롤,300,606.5,96.28,14.47,18.17,11.15,1391.43,55.88,3.41,0.11,2012
107,밥류,새우튀김롤(강원도),300,612,88.61,13.33,22.76,1.97,1415.65,51.33,4.44,0.2,2012
108,밥류,새우튀김롤(경기도),300,627,98.65,14.03,19.72,14.33,1183.79,53.83,3.6,0.1,2012
109,밥류,새우튀김롤(경상도),300,549,95.72,14.46,12.07,11.7,1617.06,78.32,2.34,0.07,2012
110,밥류,새우튀김롤(서울),300,645,103.08,15.29,19.04,11.62,1299.29,40.94,2.67,0.08,2012
111,밥류,새우튀김롤(전라도),300,570,90.25,15.08,16.5,16.97,1406.11,58.72,3.33,0.1,2012
112,밥류,새우튀김롤(충청도),300,633,101.37,14.62,18.92,10.27,1426.7,52.11,4.07,0.15,2012
113,밥류,샐러드김밥,250,405.95,61.45,9.61,13.52,3.42,911.18,84.58,2.79,0.06,2010
114,밥류,샐러드김밥(강원도),250,407.5,63.23,8.62,13.3,1.59,916.4,84.3,2.8,0.06,2010
115,밥류,샐러드김밥(경기도),250,402.5,60.54,10.22,13.39,1.96,871.29,87.82,2.8,0.06,2010
116,밥류,샐러드김밥(경상도),250,400,58.1,10.85,13.87,5.99,958.02,77.97,2.83,0,2010
117,밥류,샐러드김밥(서울),250,402.5,64.73,9.86,11.65,3.94,950.3,85.18,2.25,0.08,2010
118,밥류,샐러드김밥(전라도),250,395,61.73,8.89,12.58,4.58,906.16,84.43,3.36,0.09,2010
119,밥류,샐러드김밥(충청도),250,425,60.37,9.26,16.33,2.47,864.9,87.78,2.7,0.06,2010
120,밥류,생선초밥(광어),300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02,2010
121,밥류,생선초밥(광어)(강원도),300,465,89.64,19.97,3.04,5.33,750.06,48.8,0.89,0.01,2010
